Index,Value
7,30
7,100
7,100
7,30
7,100
7,30
7,100
7,30
7,100
7,100
7,30
7,30
7,100
7,100
7,123
7,100
7,100
7,100
7,100
7,30
7,30
7,100
7,100
7,200
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,200
8,30
8,200
8,200
8,30
8,200
8,200
8,200
8,200
8,200
8,200
8,200
8,200
8,200
8,30
8,200
8,200
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,30
8,200
8,30
8,30
8,30
8,30
8,30
8,196
8,200
8,30
8,200
8,30
8,30
8,30
8,200
8,200
8,200
8,199
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,122
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,30
8,200
8,30
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,200
8,30
8,30
8,30
8,30
8,200
8,200
8,200
8,30
8,30
8,30
8,30
8,200
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,200
8,200
8,30
8,30
8,200
8,30
8,200
8,30
8,30
8,30
8,30
8,200
8,200
8,200
8,200
8,200
8,200
8,200
8,200
8,200
8,30
8,200
8,200
8,30
8,30
8,200
8,200
8,200
8,200
8,200
8,30
8,30
8,30
8,200
8,200
8,200
8,30
8,200
8,30
8,30
8,200
8,200
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,100
8,100
8,100
8,30
8,100
8,100
8,30
8,30
8,100
8,30
8,30
8,100
8,100
8,100
8,30
8,100
8,100
8,100
8,100
8,30
8,30
8,30
8,30
