Index,Value
3,200
3,200
3,200
3,30
3,200
3,200
3,200
3,200
3,30
3,30
3,30
3,184
3,177
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,200
3,200
3,30
3,200
3,30
3,30
3,30
3,200
3,30
3,200
3,200
3,200
3,200
3,200
3,165
3,30
3,190
3,30
3,30
3,150
3,192
3,30
3,30
3,30
3,30
3,200
3,200
3,30
3,200
3,200
3,140
3,30
3,30
3,30
3,100
3,200
3,30
3,30
3,30
3,30
3,30
3,30
3,176
3,30
3,200
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,200
3,30
3,200
3,30
3,30
3,255
3,200
3,30
3,30
3,30
3,30
3,30
3,200
3,30
3,30
3,200
3,30
3,30
3,200
3,200
3,30
3,30
3,30
3,30
3,30
3,200
3,200
3,200
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,30
3,30
3,200
3,200
3,30
3,30
3,200
3,200
3,30
3,30
3,200
3,200
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,200
3,30
3,30
3,30
3,200
3,200
3,30
3,200
3,30
3,200
3,200
3,200
3,200
3,199
3,200
3,30
3,30
3,30
3,30
3,30
3,200
3,30
3,196
3,30
3,30
3,30
3,30
3,185
3,30
3,200
3,30
3,30
3,30
3,200
3,30
3,200
3,30
3,30
3,200
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,173
3,196
3,152
3,30
3,30
3,30
3,30
3,30
3,30
3,30
3,100
3,100
3,100
3,30
3,30
3,100
3,30
3,30
3,30
3,30
3,30
3,100
3,30
3,30
3,100
3,100
3,30
3,30
3,30
3,30
4,200
4,200
4,200
4,30
4,200
4,30
4,197
4,200
4,200
4,200
4,30
4,30
4,30
4,181
4,200
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,200
4,200
4,30
4,200
4,30
4,30
4,200
4,190
4,30
4,200
4,200
4,200
4,165
4,200
4,30
4,30
4,182
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,200
4,164
4,200
4,200
4,30
4,30
4,30
4,141
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,200
4,30
4,200
4,30
4,30
4,200
4,200
4,200
4,30
4,200
4,255
4,30
4,30
4,200
4,30
4,30
4,30
4,200
4,30
4,30
4,200
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,198
4,30
4,30
4,30
4,30
4,171
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,200
4,30
4,190
4,30
4,200
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,200
4,30
4,200
4,30
4,30
4,200
4,200
4,200
4,200
4,200
4,164
4,30
4,158
4,200
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,200
4,30
4,30
4,30
4,30
4,30
4,174
4,30
4,30
4,191
4,30
4,30
4,30
4,30
4,30
4,159
4,194
4,161
4,30
4,165
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
4,30
5,171
5,150
5,30
5,30
5,158
5,200
5,161
5,200
5,171
5,200
5,178
5,200
5,30
5,30
5,30
5,30
5,30
5,200
5,200
5,200
5,30
5,30
5,195
5,200
5,30
5,200
5,30
5,30
5,200
5,200
5,30
5,30
5,200
5,200
5,200
5,200
5,189
5,200
5,200
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,200
5,200
5,200
5,200
5,200
5,200
5,30
5,30
5,30
5,200
5,30
5,200
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,175
5,30
5,161
5,200
5,176
5,30
5,140
5,30
5,30
5,137
5,30
5,30
5,30
5,30
5,255
5,145
5,139
5,30
5,30
5,200
5,30
5,171
5,30
5,30
5,170
5,30
5,30
5,111
5,200
5,30
5,30
5,132
5,30
5,30
5,123
5,200
5,124
5,30
5,30
5,30
5,200
5,30
5,30
5,30
5,30
5,200
5,30
5,30
5,30
5,30
5,200
5,200
5,30
5,188
5,200
5,157
5,30
5,186
5,30
5,170
5,30
5,30
5,30
5,200
5,30
5,200
5,200
5,200
5,200
5,200
5,30
5,30
5,200
5,30
5,30
5,198
5,30
5,200
5,189
5,200
5,30
5,200
5,200
5,30
5,30
5,30
5,200
5,30
5,200
5,200
5,200
5,186
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,200
5,30
5,30
5,200
5,30
5,200
5,200
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,200
5,30
5,200
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,200
5,200
5,200
5,30
5,30
5,200
5,30
5,30
5,30
5,30
5,30
5,191
5,200
5,30
5,30
5,30
5,30
5,30
5,30
5,30
5,176
5,30
